Quantil,Halstead Volume,Cyclomatic Complexity (CC),Lines Of Code (LOC),Microsoft Maintainability Index (MI),Maintainability Index (MI) - calculated
0.95166,756.09,5.0,37.0,84.0,44
0.95167,756.09,5.0,37.0,84.0,44
0.95168,756.18,5.0,37.0,84.0,44
0.95169,756.18,5.0,37.0,84.0,44
0.9517,756.18,5.0,37.0,84.0,44
0.95171,756.28,5.0,37.0,84.0,44
0.95172,756.28,5.0,37.0,84.0,44
0.95173,756.28,5.0,37.0,84.0,44
0.95174,756.6370868000059,5.0,37.0,84.0,44
0.95175,756.73,5.0,37.0,84.0,44
0.95176,756.73,5.0,37.0,84.0,44
0.95177,756.73,5.0,37.0,84.0,44
0.95178,756.9055687999987,5.0,37.0,84.0,44
0.95179,757.36,5.0,37.0,84.0,44
0.9518,757.4851640000009,5.0,37.0,84.0,44
0.95181,757.7128460000094,5.0,37.0,84.0,44
0.95182,757.8741811999998,5.0,37.0,84.0,44
0.95183,757.88,5.0,37.0,84.0,44
0.95184,757.88,5.0,37.0,84.0,44
0.95185,757.9455270000005,5.0,37.0,84.0,44
0.95186,757.99,5.0,37.0,84.0,44
0.95187,757.9948855999997,5.0,37.0,84.0,44
0.95188,758.16,5.0,37.0,84.0,44
0.95189,758.2248580000037,5.0,37.0,84.0,44
0.9519,758.278236,5.0,37.0,84.0,44
0.95191,758.28,5.0,37.0,84.0,44
0.95192,758.5166495999781,5.0,37.0,84.0,44
0.95193,758.82,5.0,37.0,84.0,44
0.95194,758.82,5.0,37.0,84.0,44
0.95195,758.86,5.0,37.0,84.0,44
0.95196,758.86,5.0,37.0,84.0,44
0.95197,758.9,5.0,37.0,84.0,44
0.95198,759.11,5.0,37.0,84.0,44
0.95199,759.1156156000001,5.0,37.0,84.0,44
0.952,759.13,5.0,37.0,84.0,44
0.95201,759.55,5.0,37.0,84.0,44
0.95202,759.55,5.0,37.0,84.0,44
0.95203,759.65,5.0,37.0,84.0,44
0.95204,759.68,5.0,37.0,84.0,44
0.95205,759.98,5.0,37.0,84.0,44
0.95206,759.9824664000002,5.0,37.0,84.0,44
0.95207,760.0386540000006,5.0,37.0,84.0,44
0.95208,760.1,5.0,37.0,84.0,44
0.95209,760.3008555999986,5.0,37.0,84.0,44
0.9521,760.58,5.0,37.0,84.0,44
0.95211,760.76,5.0,37.0,84.0,44
0.95212,760.76,5.0,37.0,84.0,44
0.95213,760.76,5.0,37.0,84.0,44
0.95214,760.9414539999995,5.0,37.0,84.0,44
0.95215,760.98,5.0,37.0,84.0,44
0.95216,761.0853311999987,5.0,37.75551999997697,84.0,44
0.95217,761.1,5.0,38.0,84.0,44
0.95218,761.1,5.0,38.0,84.0,44
0.95219,761.1,5.0,38.0,84.0,44
0.9522,761.1,5.0,38.0,84.0,44
0.95221,761.4750134000002,5.0,38.0,84.0,44
0.95222,761.54,5.0,38.0,84.0,44
0.95223,761.569903000001,5.0,38.0,84.0,44
0.95224,761.59,5.0,38.0,84.0,44
0.95225,761.81,5.0,38.0,84.0,44
0.95226,761.8526491999999,5.0,38.0,84.0,44
0.95227,761.92,5.0,38.0,84.0,44
0.95228,761.92,5.0,38.0,84.0,44
0.95229,761.92,5.0,38.0,84.0,44
0.9523,761.92,5.0,38.0,84.0,44
0.95231,761.99,5.0,38.0,84.0,44
0.95232,761.99,5.0,38.0,84.0,44
0.95233,762.0,5.0,38.0,84.0,44
0.95234,762.14,5.0,38.0,84.0,44
0.95235,762.2232369999998,5.0,38.0,84.0,44
0.95236,762.7,5.0,38.0,84.0,44
0.95237,762.95,5.0,38.0,84.0,44
0.95238,763.12,5.0,38.0,84.0,44
0.95239,763.14,5.0,38.0,84.0,44
0.9524,763.14,5.0,38.0,84.0,44
0.95241,763.37,5.0,38.0,84.0,44
0.95242,763.4898480000021,5.0,38.0,84.0,44
0.95243,763.5958738000002,5.0,38.0,84.0,44
0.95244,763.6,5.0,38.0,84.0,44
0.95245,763.7011139999977,5.0,38.0,84.0,44
0.95246,763.86,5.0,38.0,84.0,44
0.95247,763.86,5.0,38.0,84.0,44
0.95248,764.11,5.0,38.0,84.0,44
0.95249,764.11,5.0,38.0,84.0,44
0.9525,764.11,5.0,38.0,84.0,44
0.95251,764.2552329999971,5.0,38.0,84.0,44
0.95252,764.33,5.0,38.0,84.0,44
0.95253,764.33,5.0,38.0,84.0,44
0.95254,764.74,5.0,38.0,84.0,44
0.95255,764.74,5.0,38.0,84.0,44
0.95256,764.84,5.0,38.0,84.0,44
0.95257,765.07,5.0,38.0,84.0,44
0.95258,765.07,5.0,38.0,84.0,44
0.95259,765.09,5.0,38.0,84.0,44
0.9526,765.1,5.0,38.0,84.0,44
0.95261,765.1460042,5.0,38.0,84.0,44
0.95262,765.365909999999,5.0,38.0,84.0,44
0.95263,765.4177603999944,5.0,38.0,84.0,44
0.95264,765.606313600007,5.0,38.0,84.0,44
0.95265,765.78,5.0,38.0,84.0,44
0.95266,765.79,5.0,38.0,84.0,44
0.95267,766.13,5.0,38.0,84.0,44
0.95268,766.2485919999972,5.0,38.0,84.0,44
0.95269,766.3741236000002,5.0,38.0,84.0,44
0.9527,766.38,5.0,38.0,84.0,44
0.95271,766.57,5.0,38.0,84.0,44
0.95272,766.57,5.0,38.0,84.0,44
0.95273,766.911576999992,5.0,38.0,84.0,44
0.95274,767.4,5.0,38.0,84.0,44
0.95275,767.4,5.0,38.0,84.0,44
0.95276,767.4,5.0,38.0,84.0,44
0.95277,767.4,5.0,38.0,84.0,44
0.95278,767.54,5.0,38.0,84.0,44
0.95279,767.56,5.0,38.0,84.0,44
0.9528,767.6081279999995,5.0,38.0,84.0,44
0.95281,767.7610748000023,5.0,38.0,84.0,44
0.95282,767.78,5.0,38.0,84.0,44
0.95283,767.78,5.0,38.0,84.0,44
0.95284,767.8585375999996,5.0,38.0,84.0,44
0.95285,767.9,5.0,38.0,84.0,44
0.95286,767.9,5.0,38.0,84.0,44
0.95287,767.9444140000036,5.0,38.0,84.0,44
0.95288,768.0,5.0,38.0,84.0,44
0.95289,768.09,5.0,38.0,84.0,44
0.9529,768.09,5.0,38.0,84.0,44
0.95291,768.86,5.0,38.0,84.0,44
0.95292,768.86,5.0,38.0,84.0,44
0.95293,768.92,5.0,38.0,84.0,44
0.95294,768.92,5.0,38.0,84.0,44
0.95295,768.92,5.0,38.0,84.0,44
0.95296,768.92,5.0,38.0,84.0,44
0.95297,769.0229777999999,5.0,38.0,84.0,44
0.95298,769.1935824000009,5.0,38.0,84.0,44
0.95299,769.22,5.0,38.0,84.0,44
0.953,769.3672199999966,5.0,38.0,84.0,44
0.95301,769.56,5.0,38.0,84.0,44
0.95302,769.78,5.0,38.0,84.0,44
0.95303,769.78,5.0,38.0,84.0,44
0.95304,769.927020800002,5.0,38.0,84.0,44
0.95305,769.94,5.0,38.0,84.0,44
0.95306,769.94,5.0,38.0,84.0,44
0.95307,769.9612561999998,5.0,38.0,84.0,44
0.95308,770.0,5.0,38.0,84.0,44
0.95309,770.3340988000006,5.0,38.0,84.0,44
0.9531,770.3849819999997,5.0,38.0,84.0,44
0.95311,770.4965988000034,5.0,38.0,84.0,44
0.95312,770.53,5.0,38.0,84.0,44
0.95313,770.53,5.0,38.0,84.0,44
0.95314,770.6795971999978,5.0,38.0,84.0,44
0.95315,770.72,5.0,38.0,84.0,44
0.95316,770.72,5.0,38.0,84.0,44
0.95317,770.86,5.0,38.0,84.0,44
0.95318,770.86,5.0,38.0,84.0,44
0.95319,770.86,5.0,38.0,84.0,44
0.9532,770.86,5.0,38.0,84.0,44
0.95321,770.9272343999986,5.0,38.0,84.0,44
0.95322,771.0,5.0,38.0,84.0,44
0.95323,771.0,5.0,38.0,84.0,44
0.95324,771.0,5.0,38.0,84.0,44
0.95325,771.0312550000015,5.0,38.0,84.0,44
0.95326,771.07,5.0,38.0,84.0,44
0.95327,771.1486469999988,5.0,38.0,84.0,44
0.95328,771.45,5.0,38.0,84.0,44
0.95329,771.45,5.0,38.0,84.0,44
0.9533,771.45,5.0,38.0,84.0,44
0.95331,771.49,5.0,38.0,84.0,44
0.95332,771.49,5.0,38.0,84.0,44
0.95333,771.5894067999994,5.0,38.0,84.0,44
0.95334,771.67,5.0,38.0,84.0,44
0.95335,771.7122670000052,5.0,38.0,84.0,44
0.95336,772.1583840000012,5.0,38.0,84.0,44
0.95337,772.29,5.0,38.0,84.0,44
0.95338,772.38,5.0,38.0,84.0,44
0.95339,772.38,5.0,38.0,84.0,44
0.9534,772.656336000003,5.0,38.0,84.0,44
0.95341,773.11,5.0,38.0,84.0,44
0.95342,773.21,5.0,38.0,84.0,44
0.95343,773.21,5.0,38.0,84.0,44
0.95344,773.21,5.0,38.0,84.0,44
0.95345,773.25,5.0,38.0,84.0,44
0.95346,773.25,5.0,38.0,84.0,44
0.95347,773.27,5.0,38.0,84.0,44
0.95348,773.27,5.0,38.0,84.0,44
0.95349,773.27,5.0,38.0,84.0,44
0.9535,773.27,5.0,38.0,84.0,44
0.95351,773.2758043999999,5.0,38.0,84.0,44
0.95352,773.4438944000046,5.0,38.0,84.0,44
0.95353,773.68,5.0,38.0,84.0,44
0.95354,773.6839939999987,5.0,38.0,84.0,44
0.95355,773.8,5.0,38.0,84.0,44
0.95356,773.8,5.0,38.0,84.0,44
0.95357,773.9739080000029,5.0,38.0,84.0,44
0.95358,774.0066380000004,5.0,38.0,84.0,44
0.95359,774.3073870000007,5.0,38.0,84.0,44
0.9536,774.7,5.0,38.0,84.0,44
0.95361,774.7368967999984,5.0,38.0,84.0,44
0.95362,774.83,5.0,38.0,84.0,44
0.95363,774.83,5.0,38.0,84.0,44
0.95364,774.83,5.0,38.0,84.0,44
0.95365,774.83,5.0,38.0,84.0,44
0.95366,774.83,5.0,38.0,84.0,44
0.95367,774.83,5.0,38.0,84.0,44
0.95368,774.9600432000001,5.0,38.0,84.0,44
0.95369,775.24,5.0,38.0,84.0,44
0.9537,775.26,5.0,38.0,84.0,44
0.95371,775.3210081999979,5.0,38.0,84.0,44
0.95372,775.4681408000004,5.0,38.0,84.0,44
0.95373,775.77,5.0,38.0,84.0,44
0.95374,775.77,5.0,38.0,84.0,44
0.95375,775.8893499999971,5.0,38.0,84.0,44
0.95376,776.1776800000016,5.0,38.0,84.0,44
0.95377,776.31,5.0,38.0,84.0,44
0.95378,776.31,5.0,38.0,84.0,44
0.95379,776.4798114000005,5.0,38.0,84.0,44
0.9538,776.51,5.0,38.0,84.0,44
0.95381,776.51,5.0,38.0,84.0,44
